team,sketch_title,writer,link,upload_date
212,Sweater Weather,Tim Martin,https://www.youtube.com/watch?v=dPGeNVf7go4,20131002
212,T J  Maxx Mom,Glenn Boozan,https://www.youtube.com/watch?v=aZrSctcN_iM,20150103
212,Teen Tour Guide,no writer,https://www.youtube.com/watch?v=l_97bPL6MGQ,20150724
212,THANK YOU NOTES,Kerry McGuire,https://www.youtube.com/watch?v=cS9v2zUSXnM,20140828
212,The Curse of Hammer Mansion,Erik Tanouye,https://www.youtube.com/watch?v=RoZe_97LEIA,20131112
212,THE KOOL-AID MAN GOES ON AN AUDITION,Ari Scott,https://www.youtube.com/watch?v=XvLakIZvxik,20140220
212,Tiny House,David Guz,https://www.youtube.com/watch?v=DGG8oCXlE8g,20150426
212,Valedictorian Speech,Kerry McGuire,https://www.youtube.com/watch?v=h5at-h368rA,20140724
212,VALENTINE'S DAY,Kassia Miller,https://www.youtube.com/watch?v=bemKOexBQYI,20140219
212,VENEZUELAN WEIRD AL RUNNER,and Starring Veronica Osorio,https://www.youtube.com/watch?v=-COY8wnBiuU,20140828
212,Waiters Training,Erik Tanouye,https://www.youtube.com/watch?v=b3IwDR8Usb4,20131004
212,Watching Porn,Kerry McGuire,https://www.youtube.com/watch?v=u2VLYR33nM4,20140614
212,We're All Gary For Halloween,no writer,https://www.youtube.com/watch?v=riAWRUbeRGI,20131112
212,Which Character Are You?,Achilles Stamatelaky,https://www.youtube.com/watch?v=9nG5Fm487Y4,20140414
212,White People Watch 12 Years a Slave,Ari Scott,https://www.youtube.com/watch?v=O5IfpnX4toE,20140414
212,Windy Boat,Patrick Clair,https://www.youtube.com/watch?v=rggWA8IBAJQ,20150724
212,Worst Thing You’ve Done In A Fight,Achilles Stamatelaky,https://www.youtube.com/watch?v=wxgVIcsu1uM,20150302
212,Writers Meeting,no writer,https://www.youtube.com/watch?v=UElK6GbyZJk,20131126
27 Kidneys,27 Kidneys Human Knot,Chris Kelly at Maude Night,https://www.youtube.com/watch?v=EHO7hOsqDMw,20081009
27 Kidneys,27 Kidneys Tenure,Guy Patton at Maude Night,https://www.youtube.com/watch?v=YhWPzWCRYD0,20081009
27 Kidneys,Adoption,no writer,https://www.youtube.com/watch?v=KlxaOjSvmvM,20081009
27 Kidneys,American Idol,Chris Kelly,https://www.youtube.com/watch?v=rCLVskoDGLg,20080721
27 Kidneys,Awkward Interview,no writer,https://www.youtube.com/watch?v=9rgh0mvwZuk,20081009
